what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288614456194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614464201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614465854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614466528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614515715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288614518757
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288614520416
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1288614520494
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1288614520546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614522120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614523590
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288614530578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614533248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614703640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614705589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614707576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614707652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614711981
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614713490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614737545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288614740621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615638359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615639727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615641517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615643892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615676563
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288615680202
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615684429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288615685968
