what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288616723827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616749496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616750782
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288616752204
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288616756063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616758480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616759180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616759656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616760780
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288616766059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616767256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616769618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616770852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616772820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616774528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616776354
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616777599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616779347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616782840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616786610
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288616795966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616796645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616799249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616801248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616802455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616805744
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616807147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616808490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616873148
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288616876784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616877896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616880093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288616882176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616884368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616888128
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288616896722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616898792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616903876
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288616904888
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1288616908317
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288616909725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616910665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616915331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616919008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616920772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616925984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288616936166
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1288616947899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1288616950126
